latitude,longitude,country_code,time_stamp,diff,app_name,carrier_name
42.3,-71.1,us,2017-12-13,0,Netflix_Sep22,verizon
42.3,-71.1,us,2017-12-13,0,Netflix_Sep22,verizon
37.2,-80.4,us,2017-12-13,0,Netflix_Sep22,verizon
37.2,-80.4,us,2017-12-13,0,Netflix_Sep22,verizon
37.2,-80.4,us,2017-12-13,0,Netflix_Sep22,verizon
41.3,-96.2,us,2017-12-14,0,Netflix_Sep22,verizon
33.8,-118.2,us,2017-12-14,0,Netflix_Sep22,verizon
33.8,-118.2,us,2017-12-14,0,Netflix_Sep22,verizon
,,,2018-01-11,0,Netflix_Sep22,verizon
,,,2018-01-11,0,Netflix_Sep22,verizon
43.2,-71.1,us,2018-01-12,0,Netflix_Sep22,verizon
43.2,-71.1,us,2018-01-12,0,Netflix_Sep22,verizon
43.2,-71.1,us,2018-01-12,0,Netflix_Sep22,verizon
43.2,-71.1,us,2018-01-12,0,Netflix_Sep22,verizon
39.3,-76.8,us,2018-01-17,0,Skype_,verizon
40.7,-74.0,us,2018-01-17,0,Netflix_Sep22,verizon
40.7,-74.0,us,2018-01-17,1,Netflix_Sep22,verizon
40.7,-74.0,us,2018-01-17,1,Netflix_Sep22,verizon
40.7,-74.0,us,2018-01-17,1,Netflix_Sep22,verizon
40.7,-74.0,us,2018-01-17,1,Netflix_Sep22,verizon
,,,2018-01-17,0,Skype_,verizon
38.7,-85.1,us,2018-01-18,1,Netflix_Sep22,verizon
38.7,-85.1,us,2018-01-18,0,Netflix_Sep22,verizon
38.8,-77.1,us,2018-01-18,0,Skype_,verizon
38.8,-77.1,us,2018-01-18,0,Skype_,verizon
38.8,-77.1,us,2018-01-18,0,Skype_,verizon
38.8,-77.1,us,2018-01-18,0,Skype_,verizon
42.2,-71.6,us,2018-01-18,0,Skype_,verizon
32.3,-86.4,us,2018-01-18,1,Netflix_Sep22,verizon
32.3,-86.4,us,2018-01-18,1,Netflix_Sep22,verizon
40.9,-73.3,us,2018-01-18,0,Skype_,verizon
,,,2018-01-18,1,Netflix_Sep22,verizon
,,,2018-01-18,0,Netflix_Sep22,verizon
27.6,-99.5,mx,2018-01-18,0,Netflix_Sep22,verizon
27.6,-99.5,mx,2018-01-18,0,Netflix_Sep22,verizon
39.4,-76.6,us,2018-01-18,1,Netflix_Sep22,verizon
39.4,-76.6,us,2018-01-18,1,Netflix_Sep22,verizon
42.6,-82.9,ca,2018-01-18,1,Netflix_Sep22,verizon
42.6,-82.9,ca,2018-01-18,1,Netflix_Sep22,verizon
39.7,-75.8,us,2018-01-18,0,Skype_,verizon
39.1,-84.5,us,2018-01-18,1,Netflix_Sep22,verizon
35.1,-90.0,us,2018-01-18,1,Netflix_Sep22,verizon
35.1,-90.0,us,2018-01-18,1,Netflix_Sep22,verizon
39.1,-84.5,us,2018-01-18,0,Netflix_Sep22,verizon
37.7,-122.1,us,2018-01-18,0,Netflix_Sep22,verizon
39.2,-84.2,us,2018-01-18,0,Netflix_Sep22,verizon
39.2,-84.2,us,2018-01-18,0,Netflix_Sep22,verizon
39.0,-95.2,us,2018-01-18,1,Netflix_Sep22,verizon
39.0,-95.2,us,2018-01-18,1,Netflix_Sep22,verizon
37.7,-122.1,us,2018-01-18,0,Netflix_Sep22,verizon
42.1,-91.6,us,2018-01-18,0,Netflix_Sep22,verizon
37.7,-122.1,us,2018-01-18,0,Netflix_Sep22,verizon
42.1,-91.6,us,2018-01-18,0,Netflix_Sep22,verizon
32.8,-117.2,us,2018-01-18,1,Netflix_Sep22,verizon
32.8,-117.2,us,2018-01-18,0,Netflix_Sep22,verizon
33.4,-111.5,us,2018-01-18,0,Netflix_Sep22,verizon
40.7,-75.3,us,2018-01-18,1,Netflix_Sep22,verizon
47.4,-122.2,us,2018-01-18,0,Netflix_Sep22,verizon
40.0,-75.1,us,2018-01-18,0,Skype_,verizon
42.5,-71.1,us,2018-01-18,0,Skype_,verizon
40.6,-74.0,us,2018-01-18,0,Skype_,verizon
33.4,-111.5,us,2018-01-18,0,Netflix_Sep22,verizon
47.4,-122.2,us,2018-01-18,1,Netflix_Sep22,verizon
40.5,-74.4,us,2018-01-18,0,Netflix_Sep22,verizon
43.1,-76.1,us,2018-01-18,0,Skype_,verizon
40.5,-80.0,us,2018-01-18,0,Skype_,verizon
40.8,-74.5,us,2018-01-18,0,Skype_,verizon
43.0,-76.0,us,2018-01-18,0,Skype_,verizon
,,,2018-01-18,0,Netflix_Sep22,verizon
39.7,-84.2,us,2018-01-18,0,Netflix_Sep22,verizon
42.3,-71.8,us,2018-01-18,1,Netflix_Sep22,verizon
42.3,-71.8,us,2018-01-18,1,Netflix_Sep22,verizon
37.4,-122.0,us,2018-01-18,1,Netflix_Sep22,verizon
35.7,-81.2,us,2018-01-18,1,Netflix_Sep22,verizon
37.6,-77.6,us,2018-01-18,0,Skype_,verizon
39.1,-77.2,us,2018-01-18,1,Netflix_Sep22,verizon
35.1,-81.7,us,2018-01-18,1,Netflix_Sep22,verizon
,,,2018-01-18,0,Netflix_Sep22,verizon
37.5,-77.6,us,2018-01-18,0,Netflix_Sep22,verizon
37.6,-122.0,us,2018-01-18,0,Netflix_Sep22,verizon
45.5,-122.7,us,2018-01-18,0,Netflix_Sep22,verizon
39.1,-77.2,us,2018-01-18,0,Netflix_Sep22,verizon
35.0,-94.6,us,2018-01-18,0,Netflix_Sep22,verizon
,,,2018-01-18,1,Netflix_Sep22,verizon
42.9,-78.7,us,2018-01-18,1,Netflix_Sep22,verizon
39.4,-76.6,us,2018-01-18,1,Netflix_Sep22,verizon
42.5,-71.3,us,2018-01-18,0,Netflix_Sep22,verizon
47.3,-122.2,us,2018-01-18,0,Netflix_Sep22,verizon
42.5,-83.5,us,2018-01-18,0,Netflix_Sep22,verizon
41.5,-90.5,us,2018-01-18,0,Netflix_Sep22,verizon
38.8,-77.0,us,2018-01-18,0,Skype_,verizon
47.3,-122.2,us,2018-01-18,1,Netflix_Sep22,verizon
42.5,-83.5,us,2018-01-18,0,Netflix_Sep22,verizon
30.4,-97.7,us,2018-01-18,0,Netflix_Sep22,verizon
44.2,-94.0,us,2018-01-18,0,Netflix_Sep22,verizon
39.1,-76.5,us,2018-01-18,0,Netflix_Sep22,verizon
42.3,-71.0,us,2018-01-18,0,Netflix_Sep22,verizon
32.9,-96.8,us,2018-01-18,0,Skype_,verizon
41.5,-90.5,us,2018-01-18,0,Netflix_Sep22,verizon
,,,2018-01-18,0,Skype_,verizon
34.1,-118.4,us,2018-01-18,0,Netflix_Sep22,verizon
42.9,-85.6,us,2018-01-18,0,Netflix_Sep22,verizon
36.3,-115.1,us,2018-01-18,0,Netflix_Sep22,verizon
,,,2018-01-18,0,Netflix_Sep22,verizon
47.1,-88.5,us,2018-01-18,0,Netflix_Sep22,verizon
29.0,-82.7,us,2018-01-18,0,Netflix_Sep22,verizon
29.6,-95.6,us,2018-01-18,0,Netflix_Sep22,verizon
38.2,-85.7,us,2018-01-18,0,Netflix_Sep22,verizon
40.4,-74.6,us,2018-01-18,0,Skype_,verizon
40.0,-105.3,us,2018-01-18,0,Netflix_Sep22,verizon
41.6,-93.8,us,2018-01-18,0,Netflix_Sep22,verizon
42.3,-71.0,us,2018-01-18,0,Netflix_Sep22,verizon
42.5,-71.3,us,2018-01-18,0,Netflix_Sep22,verizon
36.8,-119.7,us,2018-01-18,0,Netflix_Sep22,verizon
34.2,-119.2,us,2018-01-18,0,Skype_,verizon
44.9,-93.3,us,2018-01-18,0,Netflix_Sep22,verizon
40.5,-111.9,us,2018-01-18,0,Netflix_Sep22,verizon
40.8,-74.0,us,2018-01-18,0,Netflix_Sep22,verizon
35.1,-81.7,us,2018-01-18,0,Netflix_Sep22,verizon
28.5,-82.2,us,2018-01-18,0,Netflix_Sep22,verizon
40.0,-75.3,us,2018-01-18,0,Netflix_Sep22,verizon
40.7,-74.0,us,2018-01-18,0,Netflix_Sep22,verizon
47.3,-122.2,us,2018-01-18,0,Netflix_Sep22,verizon
43.6,-116.2,us,2018-01-18,0,Netflix_Sep22,verizon
39.9,-75.3,us,2018-01-18,0,Skype_,verizon
42.9,-85.5,us,2018-01-18,0,Netflix_Sep22,verizon
39.1,-108.5,us,2018-01-18,0,Netflix_Sep22,verizon
36.0,-86.8,us,2018-01-18,0,Netflix_Sep22,verizon
25.8,-80.2,us,2018-01-18,1,Netflix_Sep22,verizon
40.4,-80.0,us,2018-01-18,0,Skype_,verizon
