latitude,longitude,country_code,time_stamp,carrier_name,diff,app_name
,,,2020-05-10,Verizon (cellular),0,DisneyPlus
,,,2020-05-10,Verizon (cellular),1,DisneyPlus
35.9,-78.9,us,2020-05-09,Verizon (cellular),1,DisneyPlus
35.9,-78.9,us,2020-05-09,Verizon (cellular),1,DisneyPlus
38.6,-121.5,us,2020-05-09,Verizon (cellular),1,DisneyPlus
38.6,-121.5,us,2020-05-09,Verizon (cellular),1,DisneyPlus
,,,2020-05-10,Verizon (cellular),1,DisneyPlus
,,,2020-05-10,Verizon (cellular),1,DisneyPlus
,,,2020-05-10,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),0,DisneyPlus
,,,2020-05-11,Verizon (cellular),0,DisneyPlus
,,,2020-05-11,Verizon (cellular),0,DisneyPlus
,,,2020-05-10,Verizon (cellular),0,DisneyPlus
,,,2020-05-10,Verizon (cellular),0,DisneyPlus
35.9,-78.9,us,2020-05-09,Verizon (cellular),1,DisneyPlus
35.9,-78.9,us,2020-05-09,Verizon (cellular),1,DisneyPlus
38.6,-121.5,us,2020-05-09,Verizon (cellular),1,DisneyPlus
38.6,-121.5,us,2020-05-09,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),1,DisneyPlus
40.4,-80.0,us,2020-05-10,Verizon (cellular),1,DisneyPlus
40.4,-80.0,us,2020-05-10,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
35.9,-78.9,us,2020-05-09,Verizon (cellular),1,DisneyPlus
35.9,-78.9,us,2020-05-09,Verizon (cellular),1,DisneyPlus
38.6,-121.5,us,2020-05-09,Verizon (cellular),1,DisneyPlus
38.6,-121.5,us,2020-05-09,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),1,DisneyPlus
40.4,-80.0,us,2020-05-10,Verizon (cellular),1,DisneyPlus
40.4,-80.0,us,2020-05-10,Verizon (cellular),1,DisneyPlus
25.8,-80.3,us,2020-05-11,Verizon (cellular),1,DisneyPlus
25.8,-80.3,us,2020-05-11,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
31.0,-92.1,us,2020-05-12,Verizon (cellular),0,DisneyPlus
31.0,-92.1,us,2020-05-12,Verizon (cellular),0,DisneyPlus
35.9,-78.9,us,2020-05-09,Verizon (cellular),1,DisneyPlus
35.9,-78.9,us,2020-05-09,Verizon (cellular),1,DisneyPlus
38.6,-121.5,us,2020-05-09,Verizon (cellular),1,DisneyPlus
38.6,-121.5,us,2020-05-09,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),1,DisneyPlus
40.4,-80.0,us,2020-05-10,Verizon (cellular),1,DisneyPlus
40.4,-80.0,us,2020-05-10,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
31.0,-92.1,us,2020-05-12,Verizon (cellular),0,DisneyPlus
31.0,-92.1,us,2020-05-12,Verizon (cellular),0,DisneyPlus
35.9,-78.9,us,2020-05-09,Verizon (cellular),1,DisneyPlus
35.9,-78.9,us,2020-05-09,Verizon (cellular),1,DisneyPlus
38.6,-121.5,us,2020-05-09,Verizon (cellular),1,DisneyPlus
38.6,-121.5,us,2020-05-09,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),1,DisneyPlus
40.4,-80.0,us,2020-05-10,Verizon (cellular),1,DisneyPlus
40.4,-80.0,us,2020-05-10,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
31.0,-92.1,us,2020-05-12,Verizon (cellular),0,DisneyPlus
31.0,-92.1,us,2020-05-12,Verizon (cellular),0,DisneyPlus
35.9,-78.9,us,2020-05-09,Verizon (cellular),1,DisneyPlus
35.9,-78.9,us,2020-05-09,Verizon (cellular),1,DisneyPlus
38.6,-121.5,us,2020-05-09,Verizon (cellular),1,DisneyPlus
38.6,-121.5,us,2020-05-09,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),1,DisneyPlus
40.4,-80.0,us,2020-05-10,Verizon (cellular),1,DisneyPlus
40.4,-80.0,us,2020-05-10,Verizon (cellular),1,DisneyPlus
40.0,-111.7,us,2020-05-14,Verizon (cellular),0,DisneyPlus
40.0,-111.7,us,2020-05-14,Verizon (cellular),0,DisneyPlus
40.2,-76.8,us,2020-05-15,Verizon (cellular),0,DisneyPlus
41.5,-81.6,us,2020-05-15,Verizon (cellular),0,DisneyPlus
41.5,-81.6,us,2020-05-15,Verizon (cellular),0,DisneyPlus
41.5,-81.6,us,2020-05-15,Verizon (cellular),0,DisneyPlus
41.5,-81.6,us,2020-05-15,Verizon (cellular),0,DisneyPlus
,,,2020-05-14,Verizon (cellular),1,DisneyPlus
,,,2020-05-14,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
30.2,-95.7,us,2020-05-11,Verizon (cellular),1,DisneyPlus
31.0,-92.1,us,2020-05-12,Verizon (cellular),0,DisneyPlus
31.0,-92.1,us,2020-05-12,Verizon (cellular),0,DisneyPlus
35.9,-78.9,us,2020-05-09,Verizon (cellular),1,DisneyPlus
35.9,-78.9,us,2020-05-09,Verizon (cellular),1,DisneyPlus
38.6,-121.5,us,2020-05-09,Verizon (cellular),1,DisneyPlus
38.6,-121.5,us,2020-05-09,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),1,DisneyPlus
,,,2020-05-11,Verizon (cellular),1,DisneyPlus
40.4,-80.0,us,2020-05-10,Verizon (cellular),1,DisneyPlus
40.4,-80.0,us,2020-05-10,Verizon (cellular),1,DisneyPlus
40.0,-111.7,us,2020-05-14,Verizon (cellular),0,DisneyPlus
40.0,-111.7,us,2020-05-14,Verizon (cellular),0,DisneyPlus
40.2,-76.8,us,2020-05-15,Verizon (cellular),0,DisneyPlus
,,,2020-05-15,Verizon (cellular),0,DisneyPlus
,,,2020-05-15,Verizon (cellular),0,DisneyPlus
41.5,-81.6,us,2020-05-15,Verizon (cellular),0,DisneyPlus
41.5,-81.6,us,2020-05-15,Verizon (cellular),0,DisneyPlus
41.5,-81.6,us,2020-05-15,Verizon (cellular),0,DisneyPlus
41.5,-81.6,us,2020-05-15,Verizon (cellular),0,DisneyPlus
,,,2020-05-14,Verizon (cellular),1,DisneyPlus
,,,2020-05-14,Verizon (cellular),1,DisneyPlus
41.3,-72.8,us,2019-08-26,Verizon (cellular),0,WhatsApp
,,,2019-09-03,Verizon (cellular),0,WhatsApp
40.9,-73.9,us,2019-08-25,Verizon (cellular),0,WhatsApp
38.5,-121.4,us,2019-08-25,Verizon (cellular),0,WhatsApp
42.0,-87.8,us,2019-08-27,Verizon (cellular),0,WhatsApp
34.0,-118.3,us,2019-08-25,Verizon (cellular),0,WhatsApp
34.3,-118.5,us,2019-08-26,Verizon (cellular),0,WhatsApp
34.1,-83.8,us,2019-08-25,Verizon (cellular),0,WhatsApp
40.6,-80.2,us,2019-08-25,Verizon (cellular),0,WhatsApp
27.9,-82.2,us,2019-08-26,Verizon (cellular),0,WhatsApp
,,,2019-08-25,Verizon (cellular),0,WhatsApp
48.0,-122.2,us,2019-08-25,Verizon (cellular),0,WhatsApp
36.8,-76.3,us,2019-08-26,Verizon (cellular),0,WhatsApp
36.8,-76.2,us,2019-08-26,Verizon (cellular),0,WhatsApp
34.1,-79.8,us,2019-08-29,Verizon (cellular),0,WhatsApp
32.4,-111.1,us,2019-08-25,Verizon (cellular),0,WhatsApp
40.7,-74.0,us,2019-08-25,Verizon (cellular),0,WhatsApp
40.7,-74.0,us,2019-08-25,Verizon (cellular),0,WhatsApp
40.7,-74.0,us,2019-08-26,Verizon (cellular),0,WhatsApp
40.7,-74.0,us,2019-08-26,Verizon (cellular),0,WhatsApp
40.7,-74.0,us,2019-08-26,Verizon (cellular),0,WhatsApp
40.9,-73.8,us,2019-08-30,Verizon (cellular),0,WhatsApp
35.9,-84.1,us,2019-09-01,Verizon (cellular),0,WhatsApp
40.8,-74.3,us,2019-08-25,Verizon (cellular),0,WhatsApp
40.8,-74.3,us,2019-08-25,Verizon (cellular),0,WhatsApp
40.0,-80.0,us,2019-08-25,Verizon (cellular),0,WhatsApp
40.5,-78.9,us,2019-08-26,Verizon (cellular),0,WhatsApp
40.5,-78.9,us,2019-08-26,Verizon (cellular),0,WhatsApp
40.5,-78.9,us,2019-08-26,Verizon (cellular),0,WhatsApp
40.5,-78.9,us,2019-08-27,Verizon (cellular),0,WhatsApp
30.0,-95.5,us,2019-08-29,Verizon (cellular),0,WhatsApp
30.0,-95.5,us,2019-08-26,Verizon (cellular),0,WhatsApp
45.3,-92.8,us,2019-08-26,Verizon (cellular),0,WhatsApp
44.5,-123.3,us,2019-09-04,Verizon (cellular),0,WhatsApp
28.7,-81.4,us,2019-08-28,Verizon (cellular),0,WhatsApp
39.1,-94.8,us,2019-08-26,Verizon (cellular),0,WhatsApp
40.8,-74.0,us,2019-08-27,Verizon (cellular),0,WhatsApp
34.6,-82.7,us,2019-08-26,Verizon (cellular),0,WhatsApp
28.8,-81.3,us,2019-08-26,Verizon (cellular),0,WhatsApp
38.8,-90.3,us,2019-08-27,Verizon (cellular),0,WhatsApp
,,,2019-08-27,Verizon (cellular),0,WhatsApp
37.4,-122.1,us,2019-08-26,Verizon (cellular),0,WhatsApp
32.9,-96.8,us,2019-08-26,Verizon (cellular),0,WhatsApp
39.8,-104.9,us,2019-08-25,Verizon (cellular),0,WhatsApp
,,,2019-08-25,Verizon (cellular),0,WhatsApp
29.9,-82.4,us,2019-08-27,Verizon (cellular),0,WhatsApp
,,,2019-08-25,Verizon (cellular),0,WhatsApp
41.4,-73.1,us,2019-08-26,Verizon (cellular),0,WhatsApp
34.6,-98.3,us,2019-08-26,Verizon (cellular),0,WhatsApp
34.6,-98.5,us,2019-08-26,Verizon (cellular),0,WhatsApp
34.6,-98.5,us,2019-08-27,Verizon (cellular),0,WhatsApp
34.6,-98.3,us,2019-09-09,Verizon (cellular),0,WhatsApp
34.6,-98.3,us,2019-09-11,Verizon (cellular),0,WhatsApp
41.5,-96.5,us,2019-08-26,Verizon (cellular),0,WhatsApp
35.9,-84.1,us,2019-08-27,Verizon (cellular),0,WhatsApp
,,,2019-08-26,Verizon (cellular),0,WhatsApp
39.9,-75.1,us,2019-08-25,Verizon (cellular),0,WhatsApp
39.5,-77.4,us,2019-08-25,Verizon (cellular),0,WhatsApp
26.0,-80.2,us,2019-08-27,Verizon (cellular),0,WhatsApp
33.0,-96.8,us,2019-08-26,Verizon (cellular),0,WhatsApp
35.1,-106.6,us,2019-08-26,Verizon (cellular),0,WhatsApp
40.1,-83.1,us,2019-08-26,Verizon (cellular),0,WhatsApp
40.1,-105.0,us,2019-08-27,Verizon (cellular),0,WhatsApp
,,,2019-08-26,Verizon (cellular),0,WhatsApp
,,,2019-08-26,Verizon (cellular),0,WhatsApp
40.4,-79.9,us,2019-08-26,Verizon (cellular),0,WhatsApp
,,,2019-08-26,Verizon (cellular),0,WhatsApp
40.7,-73.4,us,2019-08-25,Verizon (cellular),0,WhatsApp
40.7,-73.4,us,2019-08-25,Verizon (cellular),0,WhatsApp
44.3,-87.8,us,2019-08-26,Verizon (cellular),0,WhatsApp
40.6,-111.9,us,2019-08-26,Verizon (cellular),0,WhatsApp
40.5,-105.1,us,2019-08-26,Verizon (cellular),0,WhatsApp
41.5,-90.5,us,2019-08-30,Verizon (cellular),0,WhatsApp
36.1,-78.7,us,2019-08-25,Verizon (cellular),0,WhatsApp
40.8,-73.8,us,2019-08-26,Verizon (cellular),0,WhatsApp
33.5,-112.1,us,2019-08-26,Verizon (cellular),0,WhatsApp
38.7,-75.1,us,2019-08-26,Verizon (cellular),0,WhatsApp
,,,2019-08-27,Verizon (cellular),0,WhatsApp
33.9,-98.5,us,2019-08-26,Verizon (cellular),0,WhatsApp
41.8,-87.6,us,2019-08-25,Verizon (cellular),0,WhatsApp
37.4,-122.1,us,2019-08-26,Verizon (cellular),0,WhatsApp
37.4,-122.1,us,2019-08-26,Verizon (cellular),0,WhatsApp
40.1,-74.1,us,2019-08-26,Verizon (cellular),0,WhatsApp
28.0,-82.6,us,2019-08-26,Verizon (cellular),0,WhatsApp
,,,2019-08-26,Verizon (cellular),0,WhatsApp
26.0,-80.1,us,2019-08-26,Verizon (cellular),0,WhatsApp
,,,2019-08-25,Verizon (cellular),0,WhatsApp
32.9,-117.2,us,2019-08-27,Verizon (cellular),0,WhatsApp
,,,2019-08-26,Verizon (cellular),0,WhatsApp
,,,2019-08-26,Verizon (cellular),0,WhatsApp
,,,2019-08-26,Verizon (cellular),0,WhatsApp
,,,2019-08-26,Verizon (cellular),0,WhatsApp
40.6,-74.3,us,2019-08-25,Verizon (cellular),0,WhatsApp
40.6,-74.3,us,2019-08-26,Verizon (cellular),0,WhatsApp
39.3,-95.0,us,2019-08-26,Verizon (cellular),0,WhatsApp
40.4,-86.1,us,2019-08-26,Verizon (cellular),0,WhatsApp
34.6,-118.1,us,2019-08-26,Verizon (cellular),0,WhatsApp
47.6,-122.3,us,2019-08-26,Verizon (cellular),0,WhatsApp
39.9,-105.0,us,2019-08-26,Verizon (cellular),0,WhatsApp
40.7,-73.9,us,2019-08-27,Verizon (cellular),0,WhatsApp
34.6,-112.5,us,2019-08-25,Verizon (cellular),0,WhatsApp
41.7,-93.6,us,2019-08-27,Verizon (cellular),0,WhatsApp
46.6,-120.4,us,2019-08-26,Verizon (cellular),0,WhatsApp
45.5,-98.3,us,2019-08-25,Verizon (cellular),0,WhatsApp
,,,2019-08-25,Verizon (cellular),0,WhatsApp
42.4,-71.1,us,2019-08-28,Verizon (cellular),0,WhatsApp
36.3,-86.6,us,2019-08-26,Verizon (cellular),0,WhatsApp
36.3,-86.7,us,2019-08-26,Verizon (cellular),0,WhatsApp
42.1,-87.7,us,2019-08-29,Verizon (cellular),0,WhatsApp
32.8,-96.8,us,2019-08-26,Verizon (cellular),0,WhatsApp
28.2,-82.3,us,2019-08-25,Verizon (cellular),0,WhatsApp
38.7,-96.5,us,2019-08-26,Verizon (cellular),0,WhatsApp
32.2,-110.8,us,2019-08-27,Verizon (cellular),0,WhatsApp
,,,2019-08-26,Verizon (cellular),0,WhatsApp
38.5,-90.3,us,2019-08-26,Verizon (cellular),0,WhatsApp
33.8,-118.0,us,2019-08-26,Verizon (cellular),0,WhatsApp
36.1,-96.0,us,2019-08-26,Verizon (cellular),0,WhatsApp
,,,2019-09-17,Verizon (cellular),0,WhatsApp
,,,2019-08-27,Verizon (cellular),0,WhatsApp
44.5,-88.1,us,2019-08-27,Verizon (cellular),0,WhatsApp
39.1,-94.8,us,2019-08-27,Verizon (cellular),0,WhatsApp
,,,2019-08-28,Verizon (cellular),0,WhatsApp
43.7,-84.2,us,2019-08-27,Verizon (cellular),0,WhatsApp
,,,2019-08-28,Verizon (cellular),0,WhatsApp
34.0,-118.0,us,2019-08-27,Verizon (cellular),0,WhatsApp
33.6,-117.7,us,2019-08-27,Verizon (cellular),0,WhatsApp
33.0,-96.7,us,2019-08-28,Verizon (cellular),0,WhatsApp
39.1,-84.5,us,2019-09-03,Verizon (cellular),0,WhatsApp
34.2,-77.9,us,2019-08-28,Verizon (cellular),0,WhatsApp
40.0,-75.2,us,2019-08-27,Verizon (cellular),0,WhatsApp
40.6,-75.5,us,2019-08-28,Verizon (cellular),0,WhatsApp
37.8,-88.9,us,2019-08-27,Verizon (cellular),0,WhatsApp
33.3,-86.9,us,2019-08-27,Verizon (cellular),0,WhatsApp
42.3,-71.1,us,2019-08-28,Verizon (cellular),0,WhatsApp
34.3,-84.1,us,2019-09-01,Verizon (cellular),0,WhatsApp
35.2,-80.8,us,2019-09-04,Verizon (cellular),0,WhatsApp
33.7,-112.1,us,2019-09-01,Verizon (cellular),0,WhatsApp
33.2,-96.9,us,2019-09-01,Verizon (cellular),0,WhatsApp
38.5,-78.0,us,2019-09-01,Verizon (cellular),0,WhatsApp
33.8,-118.3,us,2019-09-01,Verizon (cellular),0,WhatsApp
42.7,-84.4,us,2019-08-30,Verizon (cellular),0,WhatsApp
42.7,-84.4,us,2019-08-30,Verizon (cellular),0,WhatsApp
37.2,-80.4,us,2019-09-10,Verizon (cellular),0,WhatsApp
37.2,-93.3,us,2019-09-02,Verizon (cellular),0,WhatsApp
27.8,-82.7,us,2019-09-01,Verizon (cellular),0,WhatsApp
37.2,-80.4,us,2019-09-07,Verizon (cellular),0,WhatsApp
,,,2019-09-05,Verizon (cellular),0,WhatsApp
48.5,-122.2,us,2019-09-01,Verizon (cellular),0,WhatsApp
42.6,-83.2,us,2019-09-01,Verizon (cellular),0,WhatsApp
40.9,-111.9,us,2019-09-01,Verizon (cellular),0,WhatsApp
40.8,-74.6,us,2019-08-31,Verizon (cellular),0,WhatsApp
40.8,-74.6,us,2019-08-31,Verizon (cellular),0,WhatsApp
28.0,-82.6,us,2019-09-12,Verizon (cellular),0,WhatsApp
39.8,-84.0,us,2019-09-02,Verizon (cellular),0,WhatsApp
45.1,-93.0,us,2019-09-01,Verizon (cellular),0,WhatsApp
42.5,-83.4,us,2019-09-01,Verizon (cellular),0,WhatsApp
32.8,-117.0,us,2019-09-01,Verizon (cellular),0,WhatsApp
33.5,-111.9,us,2019-09-01,Verizon (cellular),0,WhatsApp
41.9,-87.6,us,2019-09-01,Verizon (cellular),0,WhatsApp
26.3,-80.1,us,2019-09-02,Verizon (cellular),0,WhatsApp
41.2,-96.2,us,2019-09-01,Verizon (cellular),0,WhatsApp
41.6,-87.9,us,2019-08-29,Verizon (cellular),0,WhatsApp
36.8,-108.0,us,2019-09-01,Verizon (cellular),0,WhatsApp
33.8,-84.4,us,2019-09-01,Verizon (cellular),0,WhatsApp
38.0,-120.4,us,2019-09-01,Verizon (cellular),0,WhatsApp
,,,2019-09-02,Verizon (cellular),0,WhatsApp
36.6,-87.3,us,2019-09-01,Verizon (cellular),0,WhatsApp
36.5,-87.4,us,2019-09-01,Verizon (cellular),0,WhatsApp
35.8,-86.4,us,2019-09-12,Verizon (cellular),0,WhatsApp
41.0,-73.9,us,2019-09-01,Verizon (cellular),0,WhatsApp
30.0,-90.1,us,2019-09-01,Verizon (cellular),0,WhatsApp
