latitude,longitude,country_code,time_stamp,carrier_name,diff,app_name
43.9,-78.9,ca,2020-02-13,StartCommunications (WiFi),0,AppleMusic
43.6,-79.4,ca,2020-02-27,StartCommunications (WiFi),0,AppleMusic
43.5,-79.9,ca,2020-03-28,StartCommunications (WiFi),0,AppleMusic
43.5,-79.9,ca,2020-03-28,StartCommunications (WiFi),0,FacebookVideo
43.5,-79.9,ca,2020-03-28,StartCommunications (WiFi),0,Hulu
44.0,-78.2,ca,2019-08-28,StartCommunications (WiFi),0,Netflix
43.7,-79.8,ca,2019-11-01,StartCommunications (WiFi),0,Netflix
43.9,-78.9,ca,2020-02-13,StartCommunications (WiFi),0,Netflix
43.6,-79.4,ca,2020-02-27,StartCommunications (WiFi),0,Netflix
43.5,-79.9,ca,2020-03-28,StartCommunications (WiFi),0,Netflix
,,,2020-03-31,StartCommunications (WiFi),0,Amazon
43.5,-79.9,ca,2020-03-28,StartCommunications (WiFi),0,Amazon
43.9,-78.9,ca,2018-03-30,StartCommunications (WiFi),0,Netflix
43.9,-78.9,ca,2018-03-30,StartCommunications (WiFi),0,Netflix
43.9,-78.9,ca,2018-04-02,StartCommunications (WiFi),0,Netflix
43.9,-78.9,ca,2018-04-04,StartCommunications (WiFi),0,Netflix
43.9,-78.9,ca,2018-04-07,StartCommunications (WiFi),0,Netflix
43.9,-78.9,ca,2018-04-07,StartCommunications (WiFi),0,Netflix
43.9,-78.9,ca,2018-04-07,StartCommunications (WiFi),0,Netflix
43.9,-78.9,ca,2018-04-07,StartCommunications (WiFi),0,Netflix
43.9,-78.9,ca,2018-04-07,StartCommunications (WiFi),0,Netflix
43.9,-78.9,ca,2018-04-08,StartCommunications (WiFi),0,Netflix
43.9,-78.9,ca,2018-04-08,StartCommunications (WiFi),0,Netflix
43.9,-78.9,ca,2018-04-09,StartCommunications (WiFi),0,Netflix
43.9,-78.9,ca,2018-01-20,StartCommunications (WiFi),0,Netflix
43.9,-78.9,ca,2018-01-20,StartCommunications (WiFi),0,Netflix
43.0,-82.4,ca,2018-01-20,StartCommunications (WiFi),0,Netflix
43.7,-79.5,ca,2018-01-20,StartCommunications (WiFi),0,Netflix
,,,2018-01-21,StartCommunications (WiFi),0,Netflix
43.6,-79.5,ca,2018-02-08,StartCommunications (WiFi),0,Netflix
43.6,-79.5,ca,2018-02-08,StartCommunications (WiFi),0,Netflix
43.7,-79.4,ca,2018-01-24,StartCommunications (WiFi),0,Netflix
43.0,-81.2,ca,2018-02-23,StartCommunications (WiFi),0,Netflix
50.0,-97.0,ca,2018-01-19,StartCommunications (WiFi),0,Netflix
43.6,-79.4,ca,2018-01-31,StartCommunications (WiFi),0,Netflix
43.6,-79.4,ca,2018-01-31,StartCommunications (WiFi),0,Netflix
43.2,-79.8,ca,2018-01-24,StartCommunications (WiFi),0,Netflix
43.2,-79.8,ca,2018-02-07,StartCommunications (WiFi),0,Netflix
43.2,-79.8,ca,2018-03-04,StartCommunications (WiFi),0,Netflix
43.2,-79.8,ca,2018-11-11,StartCommunications (WiFi),0,Netflix
43.2,-79.8,ca,2018-01-24,StartCommunications (WiFi),0,Netflix
43.5,-79.9,ca,2018-01-31,StartCommunications (WiFi),0,Netflix
43.5,-79.9,ca,2018-01-31,StartCommunications (WiFi),0,Netflix
43.8,-79.4,ca,2018-01-19,StartCommunications (WiFi),0,Netflix
43.8,-79.4,ca,2018-01-19,StartCommunications (WiFi),0,Netflix
43.8,-79.4,ca,2018-01-19,StartCommunications (WiFi),0,Netflix
43.8,-79.4,ca,2018-01-19,StartCommunications (WiFi),0,Netflix
42.3,-83.0,ca,2018-01-20,StartCommunications (WiFi),0,Netflix
42.3,-83.0,ca,2018-01-20,StartCommunications (WiFi),0,Netflix
43.2,-79.8,ca,2018-01-19,StartCommunications (WiFi),0,Netflix
43.2,-79.8,ca,2018-01-19,StartCommunications (WiFi),0,Netflix
,,,2018-01-20,StartCommunications (WiFi),0,Netflix
,,,2018-01-20,StartCommunications (WiFi),0,Netflix
,,,2018-01-20,StartCommunications (WiFi),0,Netflix
43.7,-79.8,ca,2018-01-19,StartCommunications (WiFi),0,Netflix
43.7,-79.8,ca,2018-01-19,StartCommunications (WiFi),0,Netflix
42.8,-81.2,ca,2018-01-29,StartCommunications (WiFi),0,Netflix
42.8,-81.2,ca,2018-01-29,StartCommunications (WiFi),0,Netflix
43.7,-79.5,ca,2018-02-03,StartCommunications (WiFi),0,Netflix
,,,2018-01-26,StartCommunications (WiFi),0,Netflix
42.9,-81.2,ca,2018-01-19,StartCommunications (WiFi),0,Netflix
45.3,-75.9,ca,2018-02-23,StartCommunications (WiFi),0,Netflix
43.6,-79.5,ca,2018-03-14,StartCommunications (WiFi),0,Netflix
,,,2018-04-07,StartCommunications (WiFi),0,Netflix
,,,2018-04-07,StartCommunications (WiFi),0,Netflix
44.3,-78.3,ca,2018-04-10,StartCommunications (WiFi),0,Netflix
,,,2018-04-23,StartCommunications (WiFi),0,Netflix
42.9,-81.2,ca,2018-06-12,StartCommunications (WiFi),0,Netflix
42.3,-82.9,ca,2018-09-05,StartCommunications (WiFi),0,Netflix
45.8,-77.1,ca,2018-09-07,StartCommunications (WiFi),0,Netflix
45.8,-77.1,ca,2018-09-07,StartCommunications (WiFi),0,Netflix
43.7,-79.4,ca,2018-09-05,StartCommunications (WiFi),0,Netflix
43.3,-79.8,ca,2018-09-20,StartCommunications (WiFi),0,Netflix
45.4,-75.6,ca,2018-12-01,StartCommunications (WiFi),0,Netflix
44.3,-78.3,ca,2018-04-10,StartCommunications (WiFi),0,Youtube
,,,2018-04-23,StartCommunications (WiFi),0,Youtube
42.9,-81.2,ca,2018-06-12,StartCommunications (WiFi),0,Youtube
42.3,-82.9,ca,2018-06-13,StartCommunications (WiFi),0,Youtube
42.3,-82.9,ca,2018-09-05,StartCommunications (WiFi),0,Youtube
45.8,-77.1,ca,2018-09-07,StartCommunications (WiFi),0,Youtube
43.7,-79.4,ca,2018-09-05,StartCommunications (WiFi),0,Youtube
43.3,-79.8,ca,2018-09-20,StartCommunications (WiFi),0,Youtube
45.4,-75.6,ca,2018-12-01,StartCommunications (WiFi),0,Youtube
42.9,-81.2,ca,2018-06-12,StartCommunications (WiFi),0,Amazon
42.3,-82.9,ca,2018-09-05,StartCommunications (WiFi),0,Amazon
45.8,-77.1,ca,2018-09-07,StartCommunications (WiFi),0,Amazon
43.7,-79.4,ca,2018-09-05,StartCommunications (WiFi),0,Amazon
43.3,-79.8,ca,2018-09-20,StartCommunications (WiFi),0,Amazon
45.4,-75.6,ca,2018-12-01,StartCommunications (WiFi),0,Amazon
,,,2019-05-31,Vianet (WiFi),0,Netflix
44.0,-79.4,ca,2018-01-20,Vianet (WiFi),0,Vimeo
46.5,-81.0,ca,2018-01-21,Vianet (WiFi),0,Vimeo
44.4,-79.7,ca,2018-03-08,Vianet (WiFi),0,Skype
44.4,-79.7,ca,2018-03-08,Vianet (WiFi),0,Spotify
44.4,-79.7,ca,2018-03-08,Vianet (WiFi),0,Spotify
46.3,-79.5,ca,2018-01-31,Vianet (WiFi),0,Youtube
46.3,-79.5,ca,2018-01-31,Vianet (WiFi),0,Youtube
44.4,-79.7,ca,2018-03-08,Vianet (WiFi),0,Youtube
44.4,-79.7,ca,2018-03-08,Vianet (WiFi),0,Youtube
21.5,39.2,sa,2020-02-23,SAETTIHADETISALAT (WiFi),0,AppleMusic
,,,2019-09-04,SAETTIHADETISALAT (WiFi),0,Twitch
21.5,39.2,sa,2020-02-23,SAETTIHADETISALAT (WiFi),0,Twitch
21.5,39.2,sa,2020-02-23,SAETTIHADETISALAT (WiFi),0,Hulu
21.5,39.2,sa,2019-08-24,SAETTIHADETISALAT (WiFi),0,Amazon
,,,2019-09-04,SAETTIHADETISALAT (WiFi),0,Amazon
,,,2020-01-19,SAETTIHADETISALAT (WiFi),0,Amazon
21.5,39.2,sa,2020-02-23,SAETTIHADETISALAT (WiFi),0,Amazon
26.4,50.0,sa,2019-09-04,SAETTIHADETISALAT (WiFi),0,Netflix
21.5,39.2,sa,2020-02-20,SAETTIHADETISALAT (WiFi),0,Netflix
21.5,39.2,sa,2020-02-23,SAETTIHADETISALAT (WiFi),0,Netflix
21.5,39.2,sa,2020-02-23,SAETTIHADETISALAT (WiFi),0,Youtube
26.1,44.0,sa,2018-01-28,SAETTIHADETISALAT (WiFi),0,NBCSports
26.1,44.0,sa,2018-01-28,SAETTIHADETISALAT (WiFi),0,Youtube
,,,2018-02-09,SAETTIHADETISALAT (WiFi),0,Youtube
26.4,50.1,sa,2018-03-01,SAETTIHADETISALAT (WiFi),0,Youtube
24.6,46.7,sa,2018-03-03,SAETTIHADETISALAT (WiFi),0,Youtube
,,,2018-07-08,SAETTIHADETISALAT (WiFi),0,Youtube
26.3,50.2,sa,2018-11-09,SAETTIHADETISALAT (WiFi),0,Youtube
25.2,55.3,ae,2019-08-24,etisalat (cellular),0,FacebookVideo
25.2,55.3,ae,2019-08-24,etisalat (cellular),0,FacebookVideo
,,,2019-03-12,etisalat (cellular),0,Youtube
25.3,55.4,ae,2019-06-29,etisalat (cellular),0,Youtube
24.4,54.4,ae,2019-06-29,etisalat (cellular),0,Youtube
25.3,55.3,ae,2019-08-20,etisalat (cellular),0,Youtube
25.1,55.1,ae,2019-08-26,etisalat (cellular),0,Youtube
,,,2019-08-26,etisalat (cellular),0,Youtube
,,,2019-08-26,etisalat (cellular),0,Youtube
25.2,55.8,ae,2019-09-01,etisalat (cellular),0,Youtube
25.1,55.2,ae,2019-09-01,etisalat (cellular),0,Youtube
25.2,55.4,ae,2019-09-02,etisalat (cellular),0,Youtube
25.2,55.4,ae,2019-09-02,etisalat (cellular),0,Youtube
,,,2019-09-02,etisalat (cellular),0,Youtube
,,,2019-09-02,etisalat (cellular),0,Youtube
,,,2019-09-02,etisalat (cellular),0,Youtube
24.5,54.7,ae,2019-09-02,etisalat (cellular),0,Youtube
,,,2019-11-12,etisalat (cellular),0,Youtube
,,,2020-03-07,etisalat (cellular),0,Youtube
,,,2020-03-07,etisalat (cellular),0,Youtube
25.1,55.2,ae,2018-01-31,etisalat (cellular),0,Netflix
25.1,55.2,ae,2018-01-31,etisalat (cellular),0,Netflix
25.1,55.2,ae,2018-01-31,etisalat (cellular),0,Netflix
25.1,55.2,ae,2018-01-31,etisalat (cellular),0,Netflix
25.2,55.3,ae,2018-02-01,etisalat (cellular),0,Netflix
25.0,55.1,ae,2018-02-01,etisalat (cellular),0,Netflix
25.0,55.1,ae,2018-02-01,etisalat (cellular),0,Netflix
25.2,55.3,ae,2018-02-01,etisalat (cellular),0,Netflix
25.2,55.4,ae,2018-02-02,etisalat (cellular),0,Netflix
25.1,55.4,ae,2018-03-12,etisalat (cellular),0,Netflix
,,,2018-05-09,etisalat (cellular),0,Netflix
25.1,55.4,ae,2018-11-20,etisalat (cellular),0,Netflix
24.5,54.4,ae,2018-11-21,etisalat (cellular),0,Netflix
25.4,55.5,ae,2018-12-04,etisalat (cellular),0,Netflix
25.1,55.2,ae,2018-02-01,etisalat (cellular),1,Skype
25.1,55.2,ae,2018-01-31,etisalat (cellular),1,Skype
25.1,55.2,ae,2018-01-31,etisalat (cellular),1,Skype
25.1,55.2,ae,2018-01-31,etisalat (cellular),1,Skype
25.4,55.5,ae,2018-02-01,etisalat (cellular),1,Skype
,,,2018-02-12,etisalat (cellular),1,Skype
25.2,55.3,ae,2018-02-01,etisalat (cellular),1,Skype
25.2,55.3,ae,2018-02-01,etisalat (cellular),1,Skype
25.2,55.3,ae,2018-02-01,etisalat (cellular),1,Skype
25.0,55.1,ae,2018-02-01,etisalat (cellular),1,Skype
25.0,55.1,ae,2018-02-01,etisalat (cellular),1,Skype
25.0,55.1,ae,2018-02-01,etisalat (cellular),1,Skype
25.0,55.1,ae,2018-02-01,etisalat (cellular),1,Skype
,,,2018-02-01,etisalat (cellular),1,Skype
,,,2018-02-01,etisalat (cellular),1,Skype
25.2,55.3,ae,2018-02-02,etisalat (cellular),1,Skype
25.2,55.3,ae,2018-02-02,etisalat (cellular),1,Skype
25.2,55.3,ae,2018-02-01,etisalat (cellular),1,Skype
25.2,55.3,ae,2018-02-01,etisalat (cellular),1,Skype
25.2,55.3,ae,2018-02-01,etisalat (cellular),1,Skype
25.2,55.4,ae,2018-02-02,etisalat (cellular),1,Skype
25.2,55.4,ae,2018-02-02,etisalat (cellular),1,Skype
25.0,55.1,ae,2018-02-01,etisalat (cellular),1,Skype
25.0,55.1,ae,2018-02-01,etisalat (cellular),1,Skype
25.0,55.1,ae,2018-02-01,etisalat (cellular),1,Skype
25.0,55.1,ae,2018-02-01,etisalat (cellular),1,Skype
24.5,54.4,ae,2018-02-11,etisalat (cellular),1,Skype
25.3,55.4,ae,2018-02-28,etisalat (cellular),1,Skype
25.3,55.4,ae,2018-02-28,etisalat (cellular),1,Skype
,,,2018-04-26,etisalat (cellular),1,Skype
,,,2018-04-26,etisalat (cellular),1,Skype
,,,2018-05-09,etisalat (cellular),0,Skype
25.0,55.1,ae,2018-05-23,etisalat (cellular),0,Skype
25.2,55.2,ae,2018-05-24,etisalat (cellular),0,Skype
,,,2018-05-23,etisalat (cellular),0,Skype
25.1,55.4,ae,2018-11-20,etisalat (cellular),0,Skype
24.5,54.4,ae,2018-11-21,etisalat (cellular),0,Skype
24.4,54.4,ae,2018-11-24,etisalat (cellular),0,Skype
25.4,55.5,ae,2018-12-04,etisalat (cellular),0,Skype
35.3,-106.6,us,2019-08-27,HughesNetworkSystems (WiFi),0,WhatsApp
35.3,-106.6,us,2019-08-27,HughesNetworkSystems (WiFi),0,WhatsApp
,,,2019-09-09,HughesNetworkSystems (WiFi),0,WhatsApp
,,,2019-08-27,HughesNetworkSystems (WiFi),0,Twitch
,,,2019-09-09,HughesNetworkSystems (WiFi),0,Twitch
37.2,-121.9,us,2020-01-01,HughesNetworkSystems (WiFi),0,Twitch
37.2,-121.9,us,2020-01-01,HughesNetworkSystems (WiFi),0,Twitch
,,,2019-09-09,HughesNetworkSystems (WiFi),0,Hulu
37.2,-121.9,us,2020-01-01,HughesNetworkSystems (WiFi),0,Hulu
37.2,-121.9,us,2020-01-01,HughesNetworkSystems (WiFi),0,Hulu
35.3,-106.6,us,2019-08-27,HughesNetworkSystems (WiFi),0,Amazon
,,,2019-09-03,HughesNetworkSystems (WiFi),0,Amazon
,,,2019-08-27,HughesNetworkSystems (WiFi),0,Amazon
,,,2019-08-27,HughesNetworkSystems (WiFi),0,Amazon
38.8,-90.0,us,2019-08-27,HughesNetworkSystems (WiFi),0,Amazon
,,,2019-09-09,HughesNetworkSystems (WiFi),0,Amazon
33.2,-117.0,us,2019-09-27,HughesNetworkSystems (WiFi),0,Amazon
38.5,-105.4,us,2019-11-22,HughesNetworkSystems (WiFi),0,Amazon
36.3,-92.9,us,2019-12-23,HughesNetworkSystems (WiFi),0,Amazon
,,,2019-09-03,HughesNetworkSystems (WiFi),1,Netflix
33.2,-117.1,us,2019-09-03,HughesNetworkSystems (WiFi),1,Netflix
36.1,-115.2,us,2019-09-02,HughesNetworkSystems (WiFi),0,Netflix
36.1,-115.2,us,2019-09-02,HughesNetworkSystems (WiFi),0,Netflix
,,,2019-09-09,HughesNetworkSystems (WiFi),0,Netflix
,,,2019-09-09,HughesNetworkSystems (WiFi),1,Netflix
33.2,-117.0,us,2019-09-27,HughesNetworkSystems (WiFi),1,Netflix
30.1,-92.3,us,2019-12-09,HughesNetworkSystems (WiFi),0,Netflix
30.1,-92.3,us,2019-12-09,HughesNetworkSystems (WiFi),1,Netflix
36.3,-92.9,us,2019-12-23,HughesNetworkSystems (WiFi),1,Netflix
37.2,-121.9,us,2020-01-01,HughesNetworkSystems (WiFi),0,Netflix
37.2,-121.9,us,2020-01-01,HughesNetworkSystems (WiFi),0,Netflix
33.7,-114.2,us,2018-01-28,HughesNetworkSystems (WiFi),0,Amazon
33.2,-96.0,us,2018-02-02,HughesNetworkSystems (WiFi),0,Amazon
,,,2018-02-10,HughesNetworkSystems (WiFi),0,Amazon
,,,2018-02-11,HughesNetworkSystems (WiFi),0,Amazon
,,,2018-02-11,HughesNetworkSystems (WiFi),0,Amazon
,,,2018-03-15,HughesNetworkSystems (WiFi),0,Amazon
